"ID","Nome","Indirizzo","Delivery","Prenotazione online","Tipo cucina","Prezzo","Descrizione","Latitudine","Longitudine"
"0","Casa Perbellini 12 Apostoli","vicolo Corticella San Marco 3, Verona, 37121, Italy","True","False","Creative","€€€€","Giancarlo Perbellini returns to his origins in this historic restaurant in his native city, where every chef from Verona (and possibly beyond) would like to work. The updated decor gives the restaurant even more appeal, as does the culinary style and philosophy showcased on three tasting menus: “Io e Silva”, which includes decidedly imaginative dishes (such as cooked and raw shellfish with a dash of soya and peppers) and is dedicated to his wife; “Io e Giorgio”, dedicated to his mentor and former restaurant owner, which features more classic recipes; and, last but not least, the completely vegetarian “L'Essenza”. Special mention must be made of the wine list, which includes an extensive selection of French labels, of which both the sommelier and Giancarlo are huge fans. As a final attraction, make sure you find time to visit the Roman ruins in the basement. We also highly recommend booking the chef's table where you can dine as a couple yet at the same time enjoy the company of the skilled chefs whom you’ll observe working together like the well-practised members of an orchestra – an extraordinary sight!","45.4426941","10.9961161"
"1","Le Calandre","via Liguria 1, località Sarmeola, Rubano, 35030, Italy","False","True","Creative","€€€€","Situated away from the main road and the main shopping centre, the fabulous Le Calandre is run by the Alajmo family. The soft lighting (even during the day) perfectly complements the decor in the minimalist-style dining room designed by brothers Massimiliano and Raffaele (as is most of the tableware used in the restaurant). The cuisine is presented on three tasting menus (Classico, Max and Raf), with the option of reducing the number of courses and choosing dishes from different menus, almost à la carte style. With its combination of familiar flavours and imaginative twists, Max’s cuisine celebrates the restaurant’s signature dishes such as the “passi d’oro” 2.0 risotto and the famous cuttlefish cappuccino in black ink, as well as creative dishes inspired by the passing seasons. The restaurant also has its own delicatessen for anyone keen to purchase a gourmet souvenir.","45.4215425","11.8096633"
"2","Enrico Bartolini al Mudec","via Tortona 56, Milan, 20144, Italy","True","False","Creative","€€€€","Having received three stars for this restaurant (his flagship address in Milan), Enrico Bartolini has no intention of resting on his laurels. Assisted by resident chef Davide Boglioli, he continues to create new yet approachable dishes full of intense flavours and a variety of influences, so simply sit back and enjoy the perfectly balanced results. There are two tasting menus served here: “Mudec Experience” and the “Best of”, the latter showcasing the chef’s classic favourites. Dishes can be chosen à la carte style from both menus. If you’d like to taste cold spaghetti, leave room for one of the five dishes served on the “creative cheeses” menu that features interesting and unusual combinations. Situated on the third floor of Milan’s Museo delle Culture (Mudec), the restaurant has an elegant and contemporary lounge-style vibe.","45.4516","9.161865"
"3","Uliassi","banchina di Levante 6, Senigallia, 60019, Italy","True","True","Creative","€€€€","The Adriatic Riviera, a perfect picture-postcard summer holiday destination, is the setting for this fine restaurant run by chef Mauro Uliassi. Hidden among the private beach clubs that crowd Senigallia’s seafront, this three-Michelin-star restaurant comes as a surprise, surrounded as it is by beach parasols and the sound of the sea lapping on the shore. The strength and originality of Uliassi’s cuisine lies in his ability to make good use of local ingredients, taking inspiration from the culinary traditions that have been so familiar and successful along this coastline over the past few decades and giving them a personal, creative twist. Fish and seafood obviously take pride of place, although there’s also room on the menu for meat, inspired by the Marche’s traditional game dishes – the delicious skewered pigeon is cooked to perfection! The colourful dining experience here is enhanced by the owner’s warm welcome, with Mauro’s sister Catia and his son Filippo working alongside the chef. It’s also worth mentioning that the restaurant has a keen focus on the environment, hence its banning of the use of plastic and doing its utmost to persuade its fish suppliers not to use polystyrene to transport their fish.","43.7194609","13.2206503"
"4","Enoteca Pinchiorri","via Ghibellina 87, Florence, 50122, Italy","False","True","Italian Contemporary","€€€€","The cuisine at Pinchiorri is striking for its opulent and grandiose style which impresses without becoming overly fussy or excessive, so that the main focus in every dish is the flavour of its ingredients. The magnificent feast of courses resembles a firework display, with each course more impressive than the last in a growing crescendo of delights. It’s worth coming here simply to experience the service, an impeccable waltz directed by Alessandro Tomberli, one of the best maître-d’s in Italy. Annie Féolde, one of the restaurant’s icons, left the reins to the highly talented chef Riccardo Monco, who continues to nurture and satisfy the Italian appetite for fine cuisine. Credit must also go to Giorgio Pinchiorri, who has developed a wine list that is renowned across the globe.","43.770066","11.2621974"
"5","Atelier Moessmer Norbert Niederkofler","via Walther Von der Vogelweide 17, Brunico, 39031, Italy","False","False","Creative","€€€€","Situated in a vast historic park near the centre of Brunico, this restaurant occupies a villa that was once part of the Moessmer textile factory – to illustrate the fact, an interesting fabric book dating from the early 20C is displayed on a large central table in the dining room. Here, the chef’s “Cook the Mountain” philosophy takes centre stage with a focus on top-quality produce sourced from the surrounding mountains, and a seasonal approach which ensures that flavours and ingredients are always at their best. Dinner starts with delicious appetisers served in the small lounge, perhaps accompanied by an aperitif. Having enjoyed this delicious prelude, you then move to the dining room or to the counter with its stools facing the kitchen. Wherever you choose to sit, you continue with the chef’s single tasting menu – a series of superb dishes that confirm this chef from the Ahrntal valley as one of the masters of contemporary Italian cuisine.","46.7927709","11.949283"
"6","Villa Crespi","via Fava 18, Orta San Giulio, 28016, Italy","True","False","Creative","€€€€","Just a stone’s throw from the enchanting village of Orta San Giulio with its picture-postcard views of the lake and San Giulio island, this three-Michelin-star restaurant boasts a stunning location in a late-19C Moorish-style villa. Impressive both inside and out, this aristocratic residence was once the home of the Crespi family. Today, the villa’s leading light is Antonino Cannavacciuolo, who is now at the helm of a number of Michelin-starred restaurants, of which the Villa Crespi, the most famous and celebrated of them all, is the flagship. Although this chef originally from Vico Equense in Campania takes inspiration from all over Italy and further afield, it is the passion, colour and intense flavours of his native region that shine through in all his dishes. The two tasting menus, as well as the concise à la carte, showcase elegant dishes full of goodness where the focus is on fish and seafood (although meat also features). This is Mediterranean cuisine in all its glory, with a contemporary style that is never forced – typical of Cannavacciuolo at his very best.","45.7964778","8.4159486"
"7","Quattro Passi","via Vespucci 13/n, Marina del Cantone, 80061, Italy","False","False","Mediterranean Cuisine","€€€€","This restaurant’s 40-year history began with present owner-chef Fabrizio Mellino’s grandfather, who ran a small business selling eggs from his own hens. From this, he decided to branch out and open a pizzeria “four steps from the sea” (hence the name Quattro Passi), which over the years his son Antonio and now his grandson Fabrizio have transformed into a temple to Mediterranean cuisine. Flavours, strong technique and quality ingredients combine to create an exciting feast for the tastebuds which finishes with a selection of small chocolate eggs with unusual flavours such as roquefort, rocket, chilli pepper and lemon. A host of different influences (the sea, the Sannio region, France, Japan) and ingredients (San Marzano tomatoes, Amalfi lemons) come together in Fabrizio’s cuisine, resulting in dishes that are simple, delicious and full of flavour. It’s not an easy journey to Marina del Cantone, but once here you’ll be warmly welcomed by Raffaele and his team, after which you can sit back and enjoy a truly memorable dining experience.","40.5857091","14.3537561"
"8","La Pergola","via Cadlolo 101, Rome, 00136, Italy","False","True","Mediterranean Cuisine","€€€€","Following complete refurbishment, the new Pergola pays tribute to the colours and materials of Rome, from the Travertine marble to the red colour scheme. The terrace has also had a face-lift, but fortunately the view hasn’t changed – however many times you come here, you find that your memory never quite does justice to the magnificent and expansive views of the capital. Below Monte Mario hill, the whole of Rome, encircled by hills, is spread out before you, appearing silent and enchanted, almost as if it were dozing. Although he’s been at the helm here since 1994, Heinz Beck’s enthusiasm remains undiminished, as he continues to update his dishes, explore new avenues and create imaginative cuisine with a strong Italian and Mediterranean flavour. In addition to the spectacular wine list, there’s also a remarkable choice of water and coffee.","41.9187946","12.4461151"
"9","Reale","contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031, Italy","True","True","Modern Cuisine","€€€€","Housed in a 16C monastery amid gardens and vineyards in the foothills surrounding Castel di Sangro, this restaurant boasts a simple, minimalist style which is echoed in its cuisine, created by one of the most easily identified and recognisable chefs in Italy. For years, Niko Romito has been renowned for his minimalist-style dishes which are prepared from just a few ingredients, featuring sauces with an Italian rather than classically French flavour, and this remarkable chef continues to research and evolve. He focuses on ingredients and recipes from his native Abruzzo, paying particular attention to vegetables and creating dishes that are striking for their intense flavours. As ever, his dishes are apparently simple yet often the result of complex preparation that leaves his guests full of spellbound admiration.","41.7800349","14.094554"
"10","Da Vittorio","via Cantalupa 17, Brusaporto, 24060, Italy","False","True","Italian Contemporary","€€€€","Although there’s an à la carte at this welcoming, family-run restaurant, the four tasting menus served here are the highlight: “Gli esordi di papà Vittorio” (traditionally inspired meat dishes); “Dalla nostra campagna” (vegetables grown in the restaurant’s own kitchen garden and at Planet Farm); “Carta Bianca” (16 courses showcasing the chef’s creative skills to the full); and “Nella tradizione di Vittorio"""" (8 fish and seafood courses prepared with fresh produce from the market, including the famous “pacchero” or mantis shrimp). All the dishes are prepared using carefully chosen, top-quality ingredients and are striking for their beautiful presentation and rich, intense and traditional flavours. At Vittorio, guests are carefully looked after from start to finish, with the extraordinary cheese and dessert trolleys providing a fitting finale.","45.6756778","9.7692511"
"11","Osteria Francescana","via Stella 22, Modena, 41121, Italy","True","False","Creative","€€€€","Situated in Via Stella, this restaurant eschews an overly ornate decor in favour of a simpler, more contemporary and elegant style which is enhanced by striking works of art (Massimo Bottura is a passionate art enthusiast). This understated style is echoed in the cuisine, where grandiose gestures are replaced by a balanced approach which pays careful attention to every detail. The menu has a broad reach, including specialities from Modena and Emilia (ingredients such as Parmesan cheese, balsamic vinegar and tagliatelle and tortellini pasta), as well as classic international dishes, which the chef reinterprets with a light and playful touch, reminding us that food should not be a boring ritual but instead an enjoyable experience influenced by memory and culture. The impressive wine list includes lesser-known labels from small-scale producers with interesting stories, as well as top-quality options from established wineries.","44.6448099","10.9215518"
"12","Dal Pescatore","località Runate 15, Runate, 46013, Italy","True","False","Italian Contemporary","€€€€","Having held three Michelin stars since 1996 (an Italian record), this restaurant is situated in the village of Runate which lies between Cremona and Mantova and has just a few dozen inhabitants. Now close to celebrating half a century in business, Dal Pescatore is run by an extraordinary couple who have transformed what was an old family inn into a temple of elegance and hospitality. Antonio Santini oversees the front of house, while his wife Nadia is at the helm in the kitchen, aided by sons Giovanni and Alberto. In a setting boasting an elegant mix of old and new, where space, light and colours combine to create an enchanting ambience, enjoy memorable dishes that have evolved over the decades, improving year after year without ever succumbing to modern trends so that the focus is always on flavour and the joy of good food. Dal Pescatore boasts a fairy-tale setting, occupying a delightful country house in the Parco dell’Oglio.","45.1712728","10.3565788"
"13","Piazza Duomo","vicolo dell'Arco 1, angolo piazza Risorgimento 4, Alba, 12051, Italy","True","False","Creative","€€€€","A distinctive red door marks the entrance to this temple of Italian cuisine. Once inside, make your way to the first floor, where you’re greeted by pink walls and a fresco by Francesco Clemente, as well as the restaurant’s friendly front-of-house staff. Here, the individual cuisine of chef Enrico Crippa takes centre stage on three tasting menus, with a fourth shorter menu available at lunchtime. One of the menus is inspired by the vegetable gardens and the seasons, another by the region, while the third takes guests on a culinary journey through Italy and further afield. What is obvious in every single, delicious bite is the chef’s passion for plants, with vegetables, flowers, wild and cultivated herbs harvested daily all featuring in memorable, beautifully presented dishes. The iconic appetisers featuring countless delicious ingredients are a feast for the eyes and the tastebuds alike and were particularly enjoyed by our inspectors. It hardly needs mentioning that this region is passionate about wine, so it’s not entirely surprising that the restaurant offers three different wine lists: Solopiemonte pays superb homage to the region, while Tuttoilresto (divided into two options, white and red) is a celebration of French wines. The efficient and enthusiastic serving staff succeed in taking good care of guests without being excessively formal, so that three hours (roughly the amount of time you need to allow for your meal) pass almost without noticing. The chef adds the finishing touch by bidding a discreet and friendly farewell at the end of the meal.","44.7005555","8.0359341"
"14","Arnolfo","viale della Rimembranza 24, Colle di Val d'Elsa, 53034, Italy","False","True","Creative","€€€€","With sharp lines created by the use of iron and glass, this modern building is especially designed to allow guests to admire the views from wherever they’re sitting. To the rear of the dining room, the large open-view kitchen framed by a superb yellow Siena marble wall is home to chef Gaetano Trovato (Mentor Chef Award 2024) and his team. Although there are three tasting menus available, one of which is vegetarian, any of the courses can also be chosen à la carte style. We could say so much about Arnolfo’s cuisine, but we’ll limit ourselves to mentioning the bread (which has been central to this chef’s work from the very beginning), duck, Chianina beef, Valdarno chicken and the ice-cream which always features among the desserts. Our inspector particularly enjoyed the delightful amuse-bouche with which guests are welcomed, the caponata with Taggiasca olives and basil, and the mullet served with white asparagus, peas and mint. The wine list is impressive, both for its quality and for the extensive selection of wines not only from Italy and France but also from other countries around the world – 7,000 different labels in total.","43.4221","11.1165"
"15","Duomo","via Cap. Bocchieri 31, Ragusa, 97100, Italy","True","False","Contemporary","€€€€","Chef Ciccio Sultano provides an intimate portrait of Sicily at this restaurant situated just a stone’s throw from the Duomo di San Giorgio in the heart of Ibla, one of the most charming historic centres in Sicily. Drawing on his deep knowledge of the region, he creates some of the island’s most spectacular cuisine, which is served in comfortable, intimate dining rooms. There are two tasting menus, from which dishes can also be chosen à la carte. We highly recommend the pasta with sea urchin, chard and hazelnuts.","36.9267762","14.7408182"
"16","Harry's Piccolo","piazza Unità d'Italia 2, Trieste, 34121, Italy","True","False","Italian Contemporary","€€€€","Thanks to its hushed ambience, Harry’s Piccolo is an ideal choice for a romantic dinner or a business meal, with fine cuisine prepared by chefs Matteo Metullio and Davide De Pra (Passion Dessert Award 2024). Despite their youth, these two chefs demonstrate plenty of ability and creativity, serving dishes that showcase local meat, fish and seafood, and seasonal vegetables, as well as hints of the Orient, in this elegant setting. Memorable dishes include the tagliatelle with mussel water, saffron, sea urchins and wild fennel, and desserts such as the sesame ice cream with pepper cream and a touch of dashi. The wine list focuses particularly on the region, while also featuring some top-quality labels from outside Italy including a good selection of sparkling wines such as the renowned Krug champagne. Added bonuses are the friendly service, and an outdoor space for an aperitif or after-dinner drink with views of one of Italy’s most beautiful squares.","45.6497242","13.7675069"
"17","Torre del Saracino","via Torretta 9, Vico Equense, 80069, Italy","True","True","Creative","€€€€","From the coast road you take a series of hairpin bends down to Marina di Equa, the beach at Vico, where you will see this old fortified tower standing just a few metres from the sea. In the tower itself, with music playing in the background, guests can savour an aperitif accompanied by an extraordinary selection of imaginative antipasti that offer an introduction to the excellent cuisine that awaits. From here, you move into one of two dining elegant dining rooms decorated in vintage 1970s style which look out at Vesuvius and the Bay of Naples – the setting for a meal that will linger long in the memory. Gennaro Esposito is one of the best chefs in Campania, creating beautifully presented dishes of meat and fish (often in the same dish) that are not only delicious but also full of the colour and vitality of his region.","40.6606947","14.419559"
"18","St. George by Heinz Beck","viale San Pancrazio 46, Taormina, 98039, Italy","True","False","Creative","€€€€","One of the most desirable and exclusive locations in Taormina, the St. George is situated in the Hashbee Hotel, an early-20C villa on the edge of Taormina’s historic centre which has retained all the charm of a private house with its elegant lounge and breathtaking terrace adorned with palm trees that frame the Straits of Messina. The cuisine comes courtesy of a partnership between Heinz Beck and resident chef Salvatore Iuliano. The three-starred Michelin chef’s instinctive elegance and gastronomic intuition combine with Calabrian-born Salvatore’s passionate and colourful take on Mediterranean cuisine. Together, the cuisine and setting guarantee an unforgettable dining experience.","37.8554565","15.2900353"
"19","Agli Amici","via Liguria 252, Godia, 33100, Italy","True","False","Country cooking","€€€€","Serving signature cuisine, Agli Amici is one of the leading restaurants in Friuli-Venezia Giulia, a border region of diverse cultural influences that is teeming with top-quality ingredients. Many of these are showcased on the two tasting menus (one of which is vegetarian), from which guests can also choose individual dishes à la carte. Owner-chef Emanuele Scarello makes full use of the array of ingredients from the region’s pastureland, mountains and vegetable gardens, which he transforms into culinary works of art. His interesting use of Godia potatoes involves a modern reinterpretation of a local butter and sage dish using roots, apple and fermented turnips. Front of house, Michela is responsible for a young, close-knit and professional team of staff.","46.1021988","13.2661162"
"20","La Rei Natura by Michelangelo Mammoliti","via Roddino 21, Serralunga d'Alba, 12050, Italy","False","True","Creative","€€€€","At this restaurant, the young yet already experienced Piedmontese chef (who also has Calabrian origins) offers three tasting menus. Dishes are also available à la carte style on two of these – “ Emozioni” (which features creative dishes inspired by childhood memories and flavours) and “Voyage” (ingredients, recipes and influences from the chef’s experience working around the world, including a delicious mango and coconut dessert). The third, Mad100% Natura, is a blind tasting menu on which the chef demonstrates his love and passion for his ingredients with real creativity. Most of his vegetables are sourced from local biodynamic gardens and greenhouses. On our last visit, we particularly enjoyed the courgettes “alla beccafico”, spaghetti with tomato sauce in honour of Nonna Tita, and the vegetable pizza served as a dessert. The high quality of the cuisine is equalled by the impressive selection of wines.","44.5942745","8.0002065"
